customer_id,age,monthly_income,occupation,city,state,txn_count,avg_transaction,grocery_spend,fuel_spend,shopping_spend,electricity_bill,internet_bill,delay_days,recharge_frequency,monthly_data_usage,call_minutes,total_spend,savings,utilization,payment_score,engagement_score,default,alt_credit_score
23,34,23986,Engineer,East Jeffreyport,Maharashtra,92,2729,4404,504,10313,1907,1137,29,9,91,1817,15221,8765,0.6345785041274077,71,183,1,326
24,22,144633,Teacher,South Jeffreyberg,Maharashtra,137,3866,1217,3484,4934,2706,385,9,7,95,160,9635,134998,0.0666168854963943,91,232,0,849
25,45,32662,Student,East Steveview,Delhi,166,4058,5494,4234,4264,2660,664,8,3,90,1285,13992,18670,0.4283877288592247,92,256,0,849
26,51,62256,Freelancer,Rivasbury,Telangana,49,2154,9947,2482,9075,2122,1204,12,6,83,1612,21504,40752,0.3454124903623747,88,132,0,849
27,52,20965,Engineer,North Lauren,Karnataka,67,243,4219,2581,3065,997,430,2,9,87,1806,9865,11100,0.4705461483424755,98,154,0,843
28,18,123252,Freelancer,Rayview,Karnataka,223,2848,6828,2339,3906,2155,650,19,3,10,1536,13073,110179,0.1060672443449193,81,233,0,849
29,18,108806,Freelancer,Jonathanburgh,Karnataka,239,2922,5280,4177,6976,1803,1486,14,8,80,962,16433,92373,0.1510302740657684,86,319,0,849
30,26,141278,Teacher,Guerrerofurt,Gujarat,64,2432,1031,4316,1134,1073,809,12,3,11,1761,6481,134797,0.0458740922153484,88,75,0,849
31,30,60015,Student,Lake Jesse,Delhi,253,3854,502,205,6451,652,1099,19,5,69,1393,7158,52857,0.1192701824543864,81,322,0,849
32,49,97939,Freelancer,West Michelle,Telangana,59,2671,6126,2890,11885,1406,711,20,2,26,1657,20901,77038,0.2134083460112927,80,85,0,849
33,40,72623,Engineer,Justinmouth,Karnataka,126,3356,1397,1085,9971,417,781,14,5,7,432,12453,60170,0.171474601710202,86,133,0,849
34,39,53585,Teacher,North Kimberlyfort,Telangana,68,720,7791,1505,6960,2937,958,10,7,78,918,16256,37329,0.3033684799850704,90,146,0,849
35,23,105259,Driver,North Alan,Delhi,226,2005,5755,249,6957,681,1082,5,8,4,1633,12961,92298,0.1231343638073703,95,230,0,849
36,37,28047,Teacher,Port Margaretchester,Delhi,228,3476,5830,43,4112,543,884,4,8,17,1696,9985,18062,0.3560095553891682,96,245,0,849
37,42,54262,Freelancer,West Nathanielburgh,Maharashtra,78,4728,3663,1288,3442,767,1165,5,4,70,1921,8393,45869,0.1546754634919464,95,148,0,849
38,18,138376,Engineer,Diazhaven,Maharashtra,239,1975,3472,3513,11140,1861,903,28,4,38,406,18125,120251,0.1309836965947852,72,277,0,849
39,30,65016,Engineer,Jasmineside,Karnataka,234,1040,2312,4953,9495,1396,1159,25,9,48,1083,16760,48256,0.2577826996431647,75,282,0,849
40,26,129101,Shop Owner,South Nicole,Maharashtra,264,1543,4145,2891,10397,2179,312,10,9,36,462,17433,111668,0.1350338107373297,90,300,0,849
41,59,137659,Engineer,Kirbyfurt,Maharashtra,288,103,3075,3591,1115,1399,1374,18,4,44,617,7781,129878,0.056523728924371,82,332,0,849
42,29,62733,Teacher,New Shannonchester,Karnataka,78,1004,2129,2781,7359,448,421,18,4,13,1247,12269,50464,0.1955748967847863,82,91,0,849
43,54,103264,Engineer,West Abigailborough,Maharashtra,157,2397,3778,2640,4301,1603,837,12,2,33,1350,10719,92545,0.1038019057948559,88,190,0,849
44,19,122859,Freelancer,Morristown,Telangana,21,3299,7039,370,1357,1479,675,17,6,57,118,8766,114093,0.0713500842429126,83,78,0,849
45,49,17392,Student,East Kathleen,Karnataka,298,4803,7985,383,14897,791,655,9,6,67,353,23265,-5873,1.3376839926402944,91,365,0,834
46,19,60859,Teacher,Bartonton,Delhi,258,4340,3225,4034,11985,1224,1367,12,4,33,1621,19244,41615,0.3162063129528911,88,291,0,849
47,28,119751,Engineer,Amychester,Maharashtra,80,4301,1422,2915,11642,1896,422,28,1,31,198,15979,103772,0.133435211396982,72,111,0,849
48,55,116308,Driver,Williamtown,Gujarat,297,3096,9666,1230,11127,1007,629,24,8,62,145,22023,94285,0.1893506895484403,76,359,0,849
49,23,99045,Engineer,Stevenston,Maharashtra,298,2984,5433,1363,4440,1290,622,14,2,12,1351,11236,87809,0.1134433843202584,86,310,0,849
50,26,96202,Freelancer,North Tylershire,Telangana,223,210,9460,3748,7218,2340,1412,16,1,7,1692,20426,75776,0.2123240681066921,84,230,0,849
51,20,59811,Driver,West Alyssa,Karnataka,41,1143,5000,607,6210,1009,1093,7,4,37,343,11817,47994,0.1975723529116717,93,78,0,849
52,53,134249,Engineer,Cynthiatown,Karnataka,24,2925,3691,1837,1189,2886,900,17,1,25,859,6717,127532,0.0500338922450074,83,49,0,849
53,37,143983,Driver,Andremouth,Maharashtra,195,2999,2603,365,14510,2017,556,28,4,24,742,17478,126505,0.1213893306848725,72,219,0,849
54,50,81295,Teacher,South Benjamin,Maharashtra,251,4600,4672,4325,6533,1170,1198,22,8,63,1410,15530,65765,0.1910326588351067,78,314,0,849
55,28,18155,Student,Watersview,Maharashtra,277,2428,1705,4988,12531,2031,1108,4,8,59,588,19224,-1069,1.0588818507298263,96,336,0,834
56,40,31918,Freelancer,Annamouth,Gujarat,57,2785,8990,956,9806,570,849,17,4,18,1164,19752,12166,0.6188357666520459,83,75,0,849
57,52,56843,Teacher,West Elizabeth,Maharashtra,80,2555,1974,4460,7502,867,1285,6,6,16,1907,13936,42907,0.2451665112678782,94,96,0,849
58,19,113727,Freelancer,Rodriguezside,Delhi,182,4496,6896,2828,14692,1973,1492,18,5,82,1972,24416,89311,0.2146895636040694,82,264,0,849
59,22,127796,Engineer,Lake Johnside,Maharashtra,206,3014,5094,949,14782,1097,1186,6,6,81,1025,20825,106971,0.1629550220664183,94,287,0,849
60,58,127858,Engineer,Jacquelineview,Karnataka,105,215,1419,113,4004,2558,586,19,6,7,1379,5536,122322,0.0432980337561982,81,112,0,849
61,37,16295,Freelancer,Faulknerland,Maharashtra,202,3889,1758,3426,9206,2085,1042,23,6,79,1696,14390,1905,0.8830929733046947,77,281,1,308
62,41,126336,Driver,Robertsmouth,Delhi,227,4854,567,1596,6160,1805,1346,15,1,43,1932,8323,118013,0.0658798758865248,85,270,0,849
63,52,136063,Freelancer,Douglastown,Maharashtra,38,2780,4021,572,7582,595,305,5,9,5,270,12175,123888,0.0894806082476499,95,43,0,849
64,52,143272,Shop Owner,East William,Gujarat,172,2308,6539,650,6241,980,1094,10,5,70,947,13430,129842,0.0937377854709922,90,242,0,849
65,35,87505,Freelancer,South Ericburgh,Karnataka,202,2637,8376,3262,1838,624,1124,16,6,43,693,13476,74029,0.154002628421233,84,245,0,849
66,33,60108,Student,Autumnchester,Delhi,70,2877,5732,2217,4039,2591,626,26,8,93,492,11988,48120,0.19944100618886,74,163,0,849
67,50,48467,Student,South Kyle,Telangana,185,1087,4883,3978,3461,1060,1336,10,9,9,553,12322,36145,0.2542348402005488,90,194,0,849
68,37,68871,Engineer,Murphytown,Maharashtra,174,1148,9631,3716,3914,1703,664,25,3,90,737,17261,51610,0.2506279856543392,75,264,0,849
69,50,117450,Engineer,South Jenniferburgh,Telangana,78,2954,3005,917,10566,1544,372,9,4,96,1202,14488,102962,0.1233546189868028,91,174,0,849
70,25,40746,Teacher,Angelatown,Telangana,83,1728,1115,4501,10441,1948,1369,23,9,53,295,16057,24689,0.3940754920728415,77,136,0,849
71,47,107888,Driver,Christineberg,Maharashtra,261,4238,5249,3505,12167,573,507,0,3,75,267,20921,86967,0.1939140590241732,100,336,0,849
72,22,103179,Shop Owner,Randolphberg,Karnataka,131,4050,9066,206,5375,2184,423,9,8,55,1330,14647,88532,0.1419571812093546,91,186,0,849
73,21,112946,Student,Marissaton,Maharashtra,137,4677,7889,2690,7823,1652,842,27,5,58,890,18402,94544,0.1629274166415809,73,195,0,849
74,45,53484,Freelancer,South Gary,Telangana,203,139,5713,4108,3520,2407,1198,21,6,8,811,13341,40143,0.2494390845860444,79,211,0,849
75,23,73208,Shop Owner,New Dillonfort,Telangana,249,3925,8105,1610,8635,741,1210,1,1,42,972,18350,54858,0.2506556660474265,99,291,0,849
76,48,134019,Shop Owner,Brewerborough,Telangana,169,4441,7629,4735,2887,1859,1131,15,7,83,74,15251,118768,0.1137972973981301,85,252,0,849
77,49,16102,Student,East Wendy,Karnataka,135,991,6366,2566,1475,2034,925,23,6,85,1737,10407,5695,0.6463172276735809,77,220,1,311
78,35,113746,Freelancer,New Pamelaside,Gujarat,64,1004,1762,943,10894,1990,1488,5,8,60,1540,13599,100147,0.1195558525134949,95,124,0,849
79,49,14014,Freelancer,Stephenshire,Gujarat,200,3377,6130,4274,2759,390,466,14,2,66,959,13163,851,0.939275010703582,86,266,0,834
80,44,20729,Teacher,South Anita,Gujarat,253,514,3794,1230,11346,1388,815,28,5,32,155,16370,4359,0.7897148921800377,72,285,1,308
81,34,115864,Engineer,West Lori,Telangana,241,3906,3635,924,6534,2092,1046,17,7,40,91,11093,104771,0.0957415590692536,83,281,0,849
82,59,39592,Shop Owner,New Kyle,Delhi,30,1144,2911,2617,14613,2201,694,9,8,77,1277,20141,19451,0.5087138815922408,91,107,0,849
83,24,120627,Shop Owner,Kathleenborough,Delhi,270,2373,4645,2775,13693,486,922,25,8,79,331,21113,99514,0.1750271498089151,75,349,0,849
84,18,87575,Freelancer,South Theodore,Delhi,71,4928,7128,3155,4470,539,832,12,3,91,1283,14753,72822,0.1684613188695403,88,162,0,849
85,40,134046,Driver,New Natashabury,Gujarat,145,2090,9275,4331,10795,438,758,5,4,63,98,24401,109645,0.1820345254614087,95,208,0,849
86,19,134862,Freelancer,Cooperstad,Karnataka,129,241,9595,861,7211,684,929,5,3,27,1722,17667,117195,0.1310005783689994,95,156,0,849
87,42,62921,Freelancer,Lake Kyleborough,Telangana,79,699,4634,3611,8087,504,867,21,7,39,1906,16332,46589,0.2595635797269592,79,118,0,849
88,39,65609,Teacher,Robertland,Maharashtra,144,1086,4631,2148,12557,1104,1158,17,7,90,120,19336,46273,0.2947156640095109,83,234,0,849
89,59,137813,Freelancer,West Jennifer,Karnataka,105,3637,5957,4261,2930,2335,1273,14,4,7,1785,13148,124665,0.0954046425228389,86,112,0,849
90,54,123632,Shop Owner,Kennethfurt,Delhi,297,3763,8042,4106,2511,624,741,3,3,10,1827,14659,108973,0.1185696259867995,97,307,0,849
91,22,97235,Freelancer,East Elizabeth,Telangana,115,2550,1789,1447,3699,2635,525,6,7,85,230,6935,90300,0.0713220548156528,94,200,0,849
92,49,83523,Shop Owner,New Kevin,Gujarat,257,1993,8022,3183,14639,859,1013,17,5,95,1672,25844,57679,0.3094237515414915,83,352,0,849
93,59,93613,Engineer,Port Alexmouth,Maharashtra,164,3186,3818,2782,9682,2407,556,0,9,91,297,16282,77331,0.1739288346703983,100,255,0,849
94,36,38251,Teacher,Donaldbury,Gujarat,125,275,1276,2837,5708,2586,337,24,6,27,999,9821,28430,0.2567514574782358,76,152,0,849
95,54,42217,Shop Owner,Lake Leahshire,Maharashtra,195,579,5567,2153,9986,709,760,26,1,4,1161,17706,24511,0.4194045052940758,74,199,0,849
96,29,84740,Student,South Jennifer,Gujarat,186,2946,3603,2440,4635,1740,656,8,7,48,772,10678,74062,0.1260089686098654,92,234,0,849
97,18,140798,Teacher,Seanfurt,Maharashtra,167,3852,7624,844,14531,868,1371,7,3,91,820,22999,117799,0.1633474907314024,93,258,0,849
98,57,124548,Student,Patriciaborough,Telangana,220,496,4415,3109,1734,732,355,0,1,31,187,9258,115290,0.0743327873590904,100,251,0,849
99,56,39375,Shop Owner,Alyssaland,Telangana,268,276,4643,2959,6058,2615,368,23,1,86,399,13660,25715,0.3469206349206349,77,354,0,849
100,20,77215,Engineer,Adamview,Telangana,215,236,3035,1932,11616,2347,1201,24,1,21,1941,16583,60632,0.2147639707310755,76,236,0,849
101,39,103468,Freelancer,Dennisport,Delhi,248,1931,769,1630,4905,556,971,9,5,87,1303,7304,96164,0.070591873816059,91,335,0,849
102,22,88832,Freelancer,Port Johnside,Delhi,151,1624,2195,3258,3762,2396,615,10,9,54,1093,9215,79617,0.1037351404899135,90,205,0,849
103,22,53919,Teacher,East Lisa,Gujarat,139,269,552,1757,6070,2760,733,1,1,49,1051,8379,45540,0.1553997663161408,99,188,0,849
104,38,104758,Driver,West Yvettestad,Maharashtra,150,2835,1219,405,7355,2275,1468,27,7,29,1633,8979,95779,0.0857118310773401,73,179,0,849
105,47,36646,Teacher,South Abigail,Gujarat,266,121,9921,1567,12374,1689,719,28,3,2,65,23862,12784,0.6511488293401736,72,268,0,849
106,22,107379,Teacher,Bradborough,Delhi,275,748,7743,826,6418,1884,1143,27,6,6,862,14987,92392,0.1395710520679089,73,281,0,849
107,48,33289,Engineer,East Anitashire,Gujarat,274,3958,8369,307,3916,733,942,10,7,5,1385,12592,20697,0.3782630899095797,90,279,0,849
108,49,51975,Shop Owner,Estradafort,Telangana,146,2384,5320,2809,14407,2404,1263,16,7,98,944,22536,29439,0.4335930735930736,84,244,0,849
109,21,37663,Teacher,North Pamela,Maharashtra,32,2736,3485,275,3047,345,1493,14,1,13,463,6807,30856,0.1807344077742081,86,45,0,849
110,45,101007,Engineer,West Steven,Delhi,224,386,3479,4576,4468,716,1147,10,9,85,365,12523,88484,0.1239815062322413,90,309,0,849
111,41,21938,Driver,North Michaelborough,Maharashtra,292,3179,5947,4204,7946,546,1471,5,5,28,1057,18097,3841,0.8249156714376881,95,320,0,840
112,50,111042,Engineer,North Mary,Telangana,193,377,814,3545,1634,1091,936,21,4,34,438,5993,105049,0.0539705696943498,79,227,0,849
113,29,48304,Teacher,South Sean,Karnataka,206,4926,8602,1520,8847,1037,1388,23,2,60,1048,18969,29335,0.3927003974826101,77,266,0,849
114,46,118940,Driver,Lake Samanthabury,Gujarat,208,3393,1386,3073,11497,1012,900,27,9,57,1020,15956,102984,0.1341516731124937,73,265,0,849
115,52,37350,Student,Brownmouth,Gujarat,229,962,3857,870,12800,2886,513,9,6,81,417,17527,19823,0.4692637215528781,91,310,0,849
116,25,98668,Teacher,Taylorside,Gujarat,115,547,2256,1117,12101,2408,997,26,6,37,1925,15474,83194,0.1568289617707868,74,152,0,849
117,43,75953,Engineer,West Ericburgh,Maharashtra,288,1697,7492,2983,14278,2359,1113,8,6,54,865,24753,51200,0.3258989111687491,92,342,0,849
118,24,13267,Teacher,East Jeremytown,Telangana,135,192,3261,3435,7122,536,857,20,6,34,752,13818,-551,1.0415316198085476,80,169,1,310
119,28,141484,Driver,Erinbury,Maharashtra,72,2481,7569,4512,2348,1781,1403,6,7,84,62,14429,127055,0.101983263125159,94,156,0,849
120,38,54425,Shop Owner,Port Donald,Maharashtra,156,1767,3572,1067,3286,772,411,19,9,32,203,7925,46500,0.1456132292145154,81,188,0,849
121,41,57295,Engineer,South Kellyview,Maharashtra,117,3841,9980,3871,2306,2145,682,16,2,53,1599,16157,41138,0.2819966838293045,84,170,0,849
122,52,95999,Driver,East Dillonview,Gujarat,159,1554,3808,2951,8763,792,1225,2,4,36,825,15522,80477,0.161689184262336,98,195,0,849
123,56,148429,Shop Owner,Grimesland,Delhi,174,1394,3803,3113,9574,2196,416,10,8,86,1223,16490,131939,0.1110968880744329,90,260,0,849
124,30,122856,Engineer,Dorseyland,Maharashtra,158,2712,8350,1504,11155,1179,414,26,8,60,302,21009,101847,0.171005079117015,74,218,0,849
125,47,121888,Student,Lake Kimberly,Delhi,240,1798,4424,423,12170,1872,1113,16,9,31,1094,17017,104871,0.1396117747440273,84,271,0,849
126,42,129180,Engineer,Kyleton,Karnataka,75,4535,8600,492,691,943,635,20,1,33,1616,9783,119397,0.0757315373896888,80,108,0,849
127,53,69163,Freelancer,Jerryport,Delhi,219,1306,4822,2186,7499,446,421,16,2,90,1478,14507,54656,0.2097508783598166,84,309,0,849
128,36,15486,Shop Owner,Lake Carlosport,Telangana,168,1523,9778,4199,2374,2722,362,23,4,65,181,16351,-865,1.0558569030091696,77,233,1,308
129,52,112795,Student,Smithside,Delhi,175,2092,8964,1029,11910,967,748,11,4,90,1205,21903,90892,0.1941841393678798,89,265,0,849
130,38,128324,Student,Port Leroy,Telangana,203,4119,1551,4033,10265,1744,979,5,1,9,79,15849,112475,0.1235076836756959,95,212,0,849
131,59,31689,Freelancer,Jasonburgh,Gujarat,138,4438,8038,3797,11981,1920,760,10,3,45,53,23816,7873,0.7515541670611253,90,183,0,849
132,22,48102,Shop Owner,Moranview,Karnataka,196,3797,2605,307,8237,1512,763,15,5,23,65,11149,36953,0.2317783044364059,85,219,0,849
133,28,16801,Driver,Caseybury,Maharashtra,124,1301,5866,2747,2017,2726,1325,9,6,72,1889,10630,6171,0.6327004344979466,91,196,0,838
134,27,11542,Freelancer,Simmonsfort,Telangana,102,1428,6369,4891,5492,2711,371,10,1,60,1303,16752,-5210,1.4513949055622943,90,162,0,838
135,57,49081,Student,North John,Gujarat,229,2913,7103,4567,7013,2985,1493,12,5,80,312,18683,30398,0.3806564658421792,88,309,0,849
136,44,29065,Teacher,East Timothy,Telangana,156,4512,683,3358,7115,2148,636,6,3,65,314,11156,17909,0.3838293480130741,94,221,0,849
137,46,64693,Engineer,North Laura,Telangana,161,2846,9228,1273,11659,2542,1311,12,2,45,427,22160,42533,0.3425409240566985,88,206,0,849
138,18,142396,Driver,South Jacquelinehaven,Delhi,137,3099,1596,1305,9607,1598,306,8,3,24,525,12508,129888,0.0878395460546644,92,161,0,849
139,23,29870,Engineer,East Tommy,Telangana,29,4297,9720,1977,3854,2328,865,7,9,77,1889,15551,14319,0.5206226983595581,93,106,0,849
140,56,128874,Teacher,Lake Ann,Gujarat,132,320,1686,4555,12892,2173,872,22,3,54,1416,19133,109741,0.1484628396728587,78,186,0,849
141,36,25485,Engineer,Jasonburgh,Telangana,200,2448,7495,4235,14282,1069,541,10,1,71,1573,26012,-527,1.0206788306847163,90,271,0,849
142,30,13709,Teacher,Robertmouth,Delhi,151,4232,2730,128,9961,1866,1403,10,5,40,917,12819,890,0.935079145087169,90,191,0,838
143,45,52918,Student,New Heathertown,Karnataka,108,1651,5265,3970,8045,1740,1065,6,4,88,1312,17280,35638,0.3265429532484221,94,196,0,849
144,30,90219,Freelancer,East Ronald,Maharashtra,168,4997,6052,627,12489,987,1449,13,5,45,55,19168,71051,0.2124607898557953,87,213,0,849
145,42,43591,Student,Graceview,Telangana,272,3264,8685,249,3425,346,918,15,5,49,856,12359,31232,0.2835218279002546,85,321,0,849
146,23,46395,Shop Owner,South Sarahstad,Telangana,44,1033,9580,2937,10809,2172,422,25,6,2,668,23326,23069,0.5027696950102382,75,46,0,849
147,38,30559,Freelancer,Port Anthony,Telangana,132,1376,9162,1987,590,2481,1140,17,7,21,1753,11739,18820,0.3841421512484047,83,153,0,849
148,28,31732,Driver,Carolineshire,Karnataka,37,4806,4559,4834,3273,2954,322,21,5,82,615,12666,19066,0.3991554266986007,79,119,0,849
149,36,23843,Student,Romeroville,Gujarat,170,241,7909,2185,4940,2209,1065,4,1,37,927,15034,8809,0.6305414587090551,96,207,0,843
150,58,62528,Freelancer,Stevenland,Maharashtra,199,1058,4283,4298,5168,2582,1295,26,6,15,1592,13749,48779,0.2198854912998976,74,214,0,849
151,20,148186,Driver,Port Aaronview,Gujarat,211,2102,6509,3308,2216,1487,1125,23,2,65,663,12033,136153,0.081202002888262,77,276,0,849
152,49,21023,Freelancer,Jennifermouth,Delhi,56,4588,1760,4965,4432,956,1234,25,3,44,1872,11157,9866,0.5307044665366504,75,100,1,318
153,41,76203,Shop Owner,Hillborough,Gujarat,216,634,8116,359,14511,2287,610,12,2,81,258,22986,53217,0.3016416676508799,88,297,0,849
154,45,71529,Teacher,East Christopherside,Delhi,49,2061,6751,4939,4506,2604,832,18,4,10,1102,16196,55333,0.2264256455423674,82,59,0,849
155,45,137016,Driver,Phillipsville,Karnataka,109,2814,1390,731,4461,1856,351,17,2,81,1575,6582,130434,0.0480381853214223,83,190,0,849
156,34,88752,Shop Owner,New Victoriaborough,Delhi,113,2554,9306,3806,6600,1494,1390,28,4,13,1501,19712,69040,0.2221020371371913,72,126,0,849
157,30,107007,Shop Owner,East Amandatown,Telangana,203,4819,7186,1587,7500,1948,599,9,7,64,140,16273,90734,0.1520741633724896,91,267,0,849
158,52,128012,Freelancer,Mataview,Gujarat,95,946,6058,277,5147,1131,531,14,6,53,1803,11482,116530,0.0896947161203637,86,148,0,849
159,22,60990,Student,Scotttown,Gujarat,120,2208,2932,3904,13548,2160,1391,25,2,57,1642,20384,40606,0.334218724381046,75,177,0,849
160,27,68141,Teacher,East Kathleenborough,Karnataka,210,1499,5000,1232,4617,2375,1374,20,2,87,1131,10849,57292,0.1592139827710189,80,297,0,849
161,22,11015,Student,Anthonystad,Maharashtra,185,2708,2528,3758,6404,1583,890,16,4,29,1108,12690,-1675,1.1520653654108035,84,214,1,382
162,35,149487,Student,Jakeberg,Karnataka,36,2087,9348,165,13636,2967,885,14,1,75,378,23149,126338,0.154856275127603,86,111,0,849
163,38,33833,Student,Lake Jennifer,Karnataka,97,4574,3321,4258,7009,1301,483,22,9,48,628,14588,19245,0.4311766618390329,78,145,0,849
164,44,56540,Student,Port Jessicaville,Gujarat,33,1312,571,3516,13442,2476,590,20,3,36,1553,17529,39011,0.3100282985496993,80,69,0,849
165,58,115570,Student,East Vanessa,Telangana,288,1826,2962,1268,1515,2533,778,26,7,92,1757,5745,109825,0.0497101323872977,74,380,0,849
166,23,22763,Student,Davidland,Telangana,182,1133,8484,406,7884,2839,812,2,2,60,1264,16774,5989,0.7368975969775513,98,242,0,842
167,48,90642,Shop Owner,Thomashaven,Telangana,45,3126,1485,3603,4985,2814,584,24,5,87,1448,10073,80569,0.1111294984664945,76,132,0,849
168,54,14809,Teacher,Port Elizabeth,Karnataka,217,2668,6789,1411,7428,1740,1423,28,6,90,1691,15628,-819,1.0553042069012086,72,307,1,308
169,34,131288,Freelancer,Williamstown,Maharashtra,268,4671,8066,4114,5170,1288,1189,25,8,19,1120,17350,113938,0.1321522149777588,75,287,0,849
170,30,67091,Freelancer,Port Trevor,Maharashtra,258,1053,8004,2466,10630,687,540,13,1,67,524,21100,45991,0.3144982188371018,87,325,0,849
171,57,118319,Teacher,North Melissa,Delhi,119,1748,8595,4527,10783,2333,716,21,2,50,1871,23905,94414,0.2020385567829342,79,169,0,849
172,48,148311,Teacher,Lake Blake,Gujarat,164,3448,1573,2402,5395,2523,686,22,2,5,1166,9370,138941,0.0631780515268591,78,169,0,849
173,51,71877,Freelancer,North Alexandra,Karnataka,183,3262,9843,2445,2456,1152,962,3,1,42,1541,14744,57133,0.2051282051282051,97,225,0,849
174,29,125765,Driver,South Jesse,Telangana,258,3957,1307,186,14531,2624,1494,20,5,50,1414,16024,109741,0.1274122371088935,80,308,0,849
175,47,34285,Engineer,Lake Chelseaside,Maharashtra,239,4574,9999,2284,5813,340,1445,2,4,8,1058,18096,16189,0.527810996062418,98,247,0,849
176,34,29198,Shop Owner,South Mariabury,Telangana,278,807,5387,3854,12958,2641,899,10,5,94,1676,22199,6999,0.7602918008082745,90,372,0,849
177,31,63682,Freelancer,Port Matthew,Delhi,178,3608,1461,3847,7226,2324,840,14,1,26,1547,12534,51148,0.196821707860934,86,204,0,849
178,51,16949,Teacher,Monicamouth,Gujarat,122,1051,5744,3384,7619,2082,750,0,4,40,1266,16747,202,0.9880818927370346,100,162,0,838
179,35,148013,Engineer,Walkerfort,Karnataka,249,707,5816,2780,922,2079,1384,21,2,1,1596,9518,138495,0.0643051623843851,79,250,0,849
180,51,104456,Freelancer,Wellsport,Maharashtra,79,3731,4766,2710,9144,2681,1190,13,7,2,114,16620,87836,0.1591100559087079,87,81,0,849
181,41,52318,Driver,North Kyleside,Gujarat,141,2591,7263,3075,3664,2391,443,0,6,22,1435,14002,38316,0.2676325547612676,100,163,0,849
182,34,113196,Driver,Swansonborough,Gujarat,25,337,6237,3217,12546,632,1297,16,2,47,1282,22000,91196,0.1943531573553835,84,72,0,849
183,34,29963,Driver,Kathyton,Telangana,115,4602,2264,1225,9927,1719,354,18,3,58,1647,13416,16547,0.4477522277475553,82,173,0,849
